1. Mose 1:1|Am Anfang schuf Gott Himmel und Erde.
Psalm 34:9|Schmecket und sehet, wie freundlich der HERR ist. Wohl dem, der auf ihn trauet!
Psalm 34:15|Des HERRN Augen merken auf die Gerechten und seine Ohren auf ihr Schreien.
Psalm 34:19|Der HERR ist nahe denen, die zerbrochenen Herzens sind, und hilft denen, die ein zerschlagenes Gemüt haben.
Psalm 36:6|HERR, deine Güte reicht, so weit der Himmel ist, und deine Wahrheit, so weit die Wolken gehen.
Psalm 36:10|Denn bei dir ist die Quelle des Lebens, und in deinem Lichte sehen wir das Licht.
Psalm 37:3|Hoffe auf den HERRN und tue Gutes, bleibe im Lande und nähre dich redlich.
Psalm 37:4|Habe deine Lust am HERRN; der wird dir geben, was dein Herz wünscht.
Psalm 37:5|Befiehl dem HERRN deine Wege und hoffe auf ihn, er wird's wohl machen.
Psalm 37:7|Sei stille dem HERRN und warte auf ihn.
Psalm 37:23|Von dem HERRN kommt es, wenn eines Mannes Schritte fest werden, und er hat Gefallen an seinem Wege.
Psalm 39:8|Nun, Herr, wessen soll ich mich trösten? Ich hoffe auf dich.
Psalm 40:2|Ich harrte des HERRN, und er neigte sich zu mir und hörte mein Schreien.
Psalm 40:3|Er zog mich aus der grausigen Grube, aus lauter Schmutz und Schlamm, und stellte meine Füße auf einen Fels.
Psalm 40:9|Deinen Willen, mein Gott, tue ich gern, und dein Gesetz hab ich in meinem Herzen.
Psalm 42:2|Wie der Hirsch lechzt nach frischem Wasser, so schreit meine Seele, Gott, zu dir.
Psalm 42:6|Was betrübst du dich, meine Seele, und bist so unruhig in mir? Harre auf Gott!
Psalm 42:12|Harre auf Gott; denn ich werde ihm noch danken, daß er meines Angesichts Hilfe und mein Gott ist.
Psalm 43:3|Sende dein Licht und deine Wahrheit, daß sie mich leiten.
Psalm 45:2|Mein Herz dichtet ein feines Lied, einem Könige will ich es singen.
Psalm 46:2|Gott ist unsre Zuversicht und Stärke, eine Hilfe in den großen Nöten, die uns getroffen haben.
Psalm 46:3|Darum fürchten wir uns nicht, wenngleich die Welt unterginge.
Psalm 46:11|Seid stille und erkennet, daß ich Gott bin!
Psalm 47:2|Denn der HERR, der Allerhöchste, ist zu fürchten, ein großer König über die ganze Erde.
Psalm 48:15|Das ist Gott, unser Gott für immer und ewig. Er ist's, der uns führet.
Psalm 50:15|Rufe mich an in der Not, so will ich dich erretten, und du sollst mich preisen.
Psalm 51:3|Gott, sei mir gnädig nach deiner Güte, und tilge meine Sünden nach deiner großen Barmherzigkeit.
Psalm 51:12|Schaffe in mir, Gott, ein reines Herz, und gib mir einen neuen, beständigen Geist.
Psalm 51:19|Die Opfer, die Gott gefallen, sind ein geängsteter Geist, ein geängstetes, zerschlagenes Herz wirst du, Gott, nicht verachten.
Psalm 55:23|Wirf dein Anliegen auf den HERRN; der wird dich versorgen und wird den Gerechten in Ewigkeit nicht wanken lassen.
Psalm 56:4|Ich will Gottes Wort rühmen; auf Gott will ich hoffen und mich nicht fürchten.
Psalm 56:9|Gott kennt meine Flucht; sammle meine Tränen in deinen Krug; ohne Zweifel, du zählst sie.
Psalm 57:2|Sei mir gnädig, Gott, sei mir gnädig! Denn auf dich traut meine Seele.
Psalm 61:3|Denn du bist meine Zuversicht, ein starker Turm vor meinen Feinden.
Psalm 62:2|Er ist mein Fels, meine Hilfe, mein Schutz, daß ich nicht wanken werde.
Psalm 62:6|Aber meine Seele ist stille zu Gott, der mir hilft.
Psalm 63:2|Gott, du bist mein Gott, den ich suche. Es dürstet meine Seele nach dir.
Psalm 63:4|Denn deine Güte ist besser als Leben; meine Lippen preisen dich.
Psalm 65:2|Gott, man lobt dich in der Stille zu Zion.
Psalm 66:5|Kommt her und sehet an die Werke Gottes, der so wunderbar ist in seinem Tun an den Menschenkindern.
Psalm 66:16|Kommt her, höret zu, alle, die ihr Gott fürchtet; ich will erzählen, was er an mir getan hat.
Psalm 67:2|Gott sei uns gnädig und segne uns, er lasse uns sein Antlitz leuchten.
Psalm 68:20|Gelobt sei der Herr täglich. Gott legt uns eine Last auf, aber er hilft uns auch.
Psalm 69:14|Ich aber bete, HERR, zu dir zur Zeit der Gnade; Gott, nach deiner großen Güte erhöre mich mit deiner treuen Hilfe.
Psalm 71:3|Sei mir ein starker Hort, dahin ich immer fliehen kann, der du zugesagt hast, mir zu helfen.
Psalm 71:5|Denn du bist meine Zuversicht, Herr, mein Gott, meine Hoffnung von meiner Jugend an.
Psalm 71:14|Ich aber will immer harren und will dich immer mehr und mehr rühmen.
Psalm 72:18|Gelobt sei Gott der HERR, der Gott Israels, der allein Wunder tut!
Psalm 73:23|Dennoch bleibe ich stets an dir; denn du hältst mich bei meiner rechten Hand.
Psalm 73:25|Wenn ich nur dich habe, so frage ich nichts nach Himmel und Erde.
Psalm 73:26|Wenn mir gleich Leib und Seele verschmachtet, so bist du doch, Gott, allezeit meines Herzens Trost und mein Teil.
Psalm 73:28|Aber das ist meine Freude, daß ich mich zu Gott halte und meine Zuversicht setze auf Gott den HERRN.
Psalm 77:14|Du bist der Gott, der Wunder tut, du hast deine Macht bewiesen unter den Völkern.
Psalm 78:4|Wir wollen es nicht verhehlen ihren Kindern; wir erzählen dem kommenden Geschlecht des HERRN Ruhm.
Psalm 81:2|Singet fröhlich Gott, der unsre Stärke ist; jauchzet dem Gott Jakobs!
Psalm 84:2|Wie lieblich sind deine Wohnungen, HERR Zebaoth!
Psalm 84:3|Meine Seele verlangt und sehnt sich nach den Vorhöfen des HERRN.
Psalm 84:11|Denn Gott der HERR ist Sonne und Schild; der HERR gibt Gnade und Ehre.
Psalm 84:12|Wohl den Menschen, die dich für ihre Stärke halten und von Herzen dir nachwandeln!
Psalm 85:9|Könnte ich doch hören, was Gott der HERR redet, daß er Friede zusagte seinem Volk.
Psalm 86:5|Denn du, Herr, bist gut und gnädig, von großer Güte allen, die dich anrufen.
Psalm 86:11|Weise mir, HERR, deinen Weg, daß ich wandle in deiner Wahrheit.
Psalm 89:2|Ich will singen von der Gnade des HERRN ewiglich und seine Treue verkünden mit meinem Munde für und für.
Psalm 90:1|Herr, du bist unsre Zuflucht für und für.
Psalm 90:2|Ehe denn die Berge wurden und die Erde und die Welt geschaffen wurden, bist du, Gott, von Ewigkeit zu Ewigkeit.
Psalm 90:12|Lehre uns bedenken, daß wir sterben müssen, auf daß wir klug werden.
Psalm 90:14|Fülle uns frühe mit deiner Gnade, so wollen wir rühmen und fröhlich sein unser Leben lang.
Sprüche 1:7|Die Furcht des HERRN ist der Anfang der Erkenntnis. Die Toren verachten Weisheit und Zucht.
Sprüche 2:6|Denn der HERR gibt Weisheit, und aus seinem Munde kommt Erkenntnis und Einsicht.
Sprüche 3:3|Gnade und Treue sollen dich nicht verlassen. Binde sie dir um den Hals, schreibe sie auf die Tafel deines Herzens.
Sprüche 3:7|Dünke dich nicht, weise zu sein, sondern fürchte den HERRN und weiche vom Bösen.
Sprüche 3:9|Ehre den HERRN mit deinem Gut und mit den Erstlingen all deines Einkommens.
Sprüche 3:11|Mein Sohn, verwirf die Zucht des HERRN nicht und sei nicht ungeduldig, wenn er dich zurechtweist.
Sprüche 3:13|Wohl dem Menschen, der Weisheit erlangt, und dem Menschen, der Einsicht gewinnt!
Sprüche 3:27|Weigere dich nicht, dem Dürftigen Gutes zu tun, wenn deine Hand es vermag.
Sprüche 4:7|Der Weisheit Anfang ist: Erwirb Weisheit, und erwirb Einsicht mit allem, was du hast.
Sprüche 4:18|Aber der Gerechten Pfad glänzt wie das Licht am Morgen, das immer heller leuchtet bis zum vollen Tag.
Sprüche 4:23|Behüte dein Herz mit allem Fleiß, denn daraus quillt das Leben.
Sprüche 6:6|Geh hin zur Ameise, du Fauler, sieh an ihr Tun und lerne von ihr!
Sprüche 6:16|Diese sechs Stücke haßt der HERR, und sieben sind ihm ein Greuel.
Sprüche 8:13|Die Furcht des HERRN hasset das Arge; Hoffart und Hochmut, bösesWesen und verkehrte Rede hasse ich.
Sprüche 8:17|Ich liebe, die mich lieben, und die mich suchen, finden mich.
Sprüche 9:10|Der Weisheit Anfang ist die Furcht des HERRN, und den Heiligen erkennen, das ist Verstand.
Sprüche 10:1|Ein weiser Sohn erfreut den Vater, aber ein törichter Sohn ist seiner Mutter Grämen.
Sprüche 10:7|Das Andenken des Gerechten bleibt im Segen, aber der Gottlosen Name wird verwesen.
Sprüche 10:12|Haß erregt Hader; aber Liebe deckt alle Übertretungen zu.
Sprüche 10:19|Wo viel Worte sind, da geht's ohne Sünde nicht ab; wer aber seine Lippen hält, ist klug.
Sprüche 11:2|Wo Stolz ist, da ist auch Schmach; aber Weisheit ist bei den Demütigen.
Sprüche 11:25|Wer reichlich gibt, wird gelabt, und wer reichlich tränkt, der wird auch getränkt werden.
Sprüche 12:18|Wer unvorsichtig herausfährt mit Worten, sticht wie ein Schwert; aber die Zunge der Weisen ist heilsam.
Sprüche 12:25|Sorge im Herzen bedrückt den Menschen; aber ein freundliches Wort erfreut ihn.
Sprüche 13:12|Hoffnung, die sich verzögert, ängstet das Herz; wenn's aber kommt, was man begehrt, das ist ein Baum des Lebens.
Sprüche 13:20|Wer mit den Weisen umgeht, der wird weise; wer aber der Toren Geselle ist, der wird Unglück haben.
Sprüche 14:23|Wo man arbeitet, da ist Gewinn; wo man aber mit Worten umgeht, da ist Mangel.
Sprüche 14:30|Ein gelassenes Herz ist des Leibes Leben; aber Eifersucht ist Eiter in den Gebeinen.
Sprüche 15:1|Eine linde Antwort stillt den Zorn; aber ein hartes Wort erregt Grimm.
Sprüche 15:3|Die Augen des HERRN sind an allen Orten, sie schauen auf Böse und Gute.
Sprüche 15:13|Ein fröhliches Herz macht ein fröhliches Angesicht; aber wenn das Herz bekümmert ist, so fällt auch der Mut.
Sprüche 15:16|Besser wenig mit der Furcht des HERRN als ein großer Schatz, bei dem Unruhe ist.
Sprüche 15:17|Besser ein Gericht Kraut mit Liebe als ein gemästeter Ochse mit Haß.
Sprüche 15:30|Freundliche Augen erfreuen das Herz; eine gute Botschaft labt das Gebein.
Sprüche 16:3|Befiehl dem HERRN deine Werke, so wird dein Vorhaben gelingen.
Sprüche 16:9|Des Menschen Herz erdenkt sich seinen Weg; aber der HERR allein lenkt seinen Schritt.
Sprüche 16:18|Wer zugrunde gehen soll, der wird zuvor stolz; und Hochmut kommt vor dem Fall.
Sprüche 16:24|Freundliche Reden sind Honigseim, tröstlich für die Seele und heilsam für die Glieder.
Sprüche 16:32|Ein Geduldiger ist besser als ein Starker und wer sich selbst beherrscht, besser als einer, der Städte einnimmt.
Sprüche 17:1|Besser ein trockener Bissen mit Frieden als ein Haus voll Geschlachtetes mit Streit.
Sprüche 17:9|Wer Sünde zudeckt, der stiftet Freundschaft; wer aber eine Sache aufrührt, der macht Freunde uneins.
Sprüche 17:17|Ein Freund liebt allezeit, und ein Bruder wird in der Not offenbar.
Sprüche 17:22|Ein fröhliches Herz tut dem Leibe wohl; aber ein betrübtes Gemüt lässt das Gebein verdorren.
Sprüche 17:28|Auch ein Tor, wenn er schwiege, würde für weise gehalten, und für verständig, wenn er den Mund hielte.
Sprüche 18:10|Der Name des HERRN ist eine feste Burg; der Gerechte läuft dahin und wird beschirmt.
Sprüche 18:13|Wer antwortet, ehe er hört, dem ist's Narrheit und Schande.
Sprüche 18:21|Tod und Leben steht in der Zunge Gewalt; wer sie liebt, der wird von ihrer Frucht essen.
Sprüche 18:24|Wer viele Gefährten hat, die schaden ihm; aber es gibt auch Freunde, die anhänglicher sind als ein Bruder.
Sprüche 19:11|Ein Verständiger ist langmütig, und es ist seine Ehre, Vergehen übersehen.
Sprüche 19:17|Wer sich des Armen erbarmt, der leiht dem HERRN, und der wird ihm vergelten, was er Gutes getan hat.
Sprüche 19:21|Des Menschen Herz erdenkt sich viel, aber zustande kommt der Ratschluß des HERRN.
Sprüche 20:3|Es ist dem Mann eine Ehre, vom Streit abzulassen; aber die Toren sind alle hitzig.
Sprüche 20:11|Einen Jüngling erkennt man an seinem Tun, ob er lauter und redlich werden will.
Sprüche 20:24|Jedermanns Schritte kommen vom HERRN. Welcher Mensch versteht seinen Weg?
Sprüche 21:2|Einen jeglichen dünkt sein Weg recht; aber der HERR prüft die Herzen.
Sprüche 21:13|Wer seine Ohren verstopft vor dem Schreien des Armen, der wird einst auch rufen und nicht erhört werden.
Sprüche 22:1|Ein guter Name ist köstlicher als großer Reichtum, und Gunst besser als Silber und Gold.
Sprüche 22:4|Der Lohn der Demut und der Furcht des HERRN ist Reichtum, Ehre und Leben.
Sprüche 22:6|Gewöhne einen Knaben an seinen Weg, so läßt er auch nicht davon, wenn er alt wird.
Sprüche 23:4|Bemühe dich nicht, reich zu werden; von solcher Klugheit laß ab.
Sprüche 23:17|Dein Herz eifere nicht gegen die Sünder, sondern täglich um die Furcht des HERRN.
Sprüche 24:16|Denn ein Gerechter fällt siebenmal und steht wieder auf, aber die Gottlosen sinken nieder im Unglück.
Sprüche 25:11|Ein Wort, geredet zu rechter Zeit, ist wie goldene Äpfel auf silbernen Schalen.
Sprüche 25:21|Hungert deinen Feind, so speise ihn mit Brot, dürstet ihn, so tränke ihn mit Wasser.
Sprüche 26:11|Wie ein Hund wieder frißt, was er gespien hat, so ist der Tor, der seine Narrheit immer wieder treibt.
Sprüche 27:1|Rühme dich nicht des morgigen Tages; denn du weißt nicht, was heute sich begeben mag.
Sprüche 27:2|Laß dich von einem andern loben, nicht von deinem Munde, von einem Fremden, nicht von deinen Lippen.
Sprüche 27:6|Die Schläge des Freundes meinen es gut; aber die Küsse des Hassers sind trügerisch.
Sprüche 27:17|Eisen schärft Eisen, und ein Mensch den andern.
Sprüche 27:19|Wie sich im Wasser das Angesicht spiegelt, so ein Mensch im Herzen des andern.
Sprüche 28:13|Wer seine Sünde leugnet, dem wird's nicht gelingen; wer sie aber bekennt und läßt, der wird Barmherzigkeit erlangen.
Sprüche 28:26|Wer sich auf seinen Verstand verläßt, ist ein Tor; wer aber in der Weisheit wandelt, wird entrinnen.
Sprüche 29:11|Ein Tor schüttet all seinen Unmut aus, aber ein Weiser hält an sich.
Sprüche 29:18|Wo keine Offenbarung ist, wird das Volk wild und wüst; aber wohl dem, der auf die Weisung achtet!
Sprüche 29:25|Menschenfurcht bringt zu Fall; wer sich aber auf den HERRN verläßt, wird beschützt.
Sprüche 30:5|Alle Worte Gottes sind durchläutert; er ist ein Schild denen, die auf ihn trauen.
Sprüche 31:10|Wem eine tüchtige Frau beschert ist, die ist viel edler als die köstlichsten Perlen.
Sprüche 31:30|Lieblich und schön sein ist nichts; eine Frau, die den HERRN fürchtet, soll man loben.
Prediger 1:2|Es ist alles ganz eitel, sprach der Prediger, es ist alles ganz eitel.
Prediger 1:9|Was ist's, das geschehen ist? Eben das hernach geschehen wird. Was ist's, das man getan hat? Eben das man hernach wieder tun wird; und es geschieht nichts Neues unter der Sonne.
Prediger 2:24|Es ist nichts Besseres für den Menschen, als daß er esse und trinke und seine Seele guter Dinge sei bei seiner Mühe.
Prediger 3:7|Weinen hat seine Zeit, Lachen hat seine Zeit; Klagen hat seine Zeit, Tanzen hat seine Zeit.
Prediger 3:11|Er hat alles schön gemacht zu seiner Zeit, auch hat er die Ewigkeit in ihr Herz gelegt.
Prediger 3:14|Ich merkte, daß alles, was Gott tut, das besteht für ewig; man kann nichts dazutun noch wegtun.
Prediger 4:6|Es ist besser eine Hand voll mit Ruhe als beide Fäuste voll mit Mühe und Haschen nach Wind.
Prediger 4:9|So ist's ja besser zu zweien als allein; denn sie genießen doch ihrer Arbeit wohl.
Prediger 4:10|Fällt einer von ihnen, so hilft ihm sein Gesell auf. Weh dem, der allein ist, wenn er fällt!
Prediger 4:12|Einer mag überwältigt werden, aber zwei können widerstehen, und eine dreifache Schnur reißt nicht leicht entzwei.
Prediger 5:1|Bewahre deinen Fuß, wenn du zum Hause Gottes gehst, und komme, daß du hörest.
Prediger 5:9|Wer Geld liebt, wird Geldes nimmer satt, und wer Reichtum liebt, wird keinen Nutzen davon haben.
Prediger 5:11|Süß ist der Schlaf des Arbeiters, ob er wenig oder viel esse; aber die Fülle läßt den Reichen nicht schlafen.
Prediger 7:1|Ein guter Name ist köstlicher denn gute Salbe, und der Tag des Todes denn der Tag der Geburt.
Prediger 7:8|Das Ende eines Dinges ist besser als sein Anfang; ein geduldiger Geist ist besser als ein hoher Geist.
Prediger 7:9|Sei nicht schnell zum Zorn; denn Zorn ruht im Busen der Toren.
Prediger 7:14|Am guten Tage sei guter Dinge, und am bösen Tage bedenke: auch diesen hat Gott geschaffen neben jenem.
Prediger 7:20|Denn es ist kein Mensch so gerecht auf Erden, daß er nur Gutes tue und nicht sündige.
Prediger 8:15|Darum lobte ich die Freude, daß der Mensch nichts Besseres hat unter der Sonne, denn zu essen und zu trinken und fröhlich zu sein.
Prediger 9:7|So geh hin und iß dein Brot mit Freuden, trink deinen Wein mit gutem Mut; denn dies dein Tun hat Gott schon längst gefallen.
Prediger 9:10|Alles, was dir vor die Hände kommt, es zu tun mit deiner Kraft, das tu; denn bei den Toten, zu denen du fährst, gibt es weder Tun noch Denken.
Prediger 9:11|Ich wandte mich und sah, wie es unter der Sonne zugeht, daß nicht die Schnellen laufen noch die Starken gewinnen.
Prediger 10:12|Die Worte aus dem Munde eines Weisen sind holdselig; aber des Narren Lippen verschlingen ihn selbst.
Prediger 11:1|Laß dein Brot über das Wasser fahren; denn du wirst es finden nach langer Zeit.
Prediger 11:4|Wer auf den Wind achtet, der sät nicht, und wer auf die Wolken sieht, der erntet nicht.
Prediger 11:9|So freue dich, Jüngling, in deiner Jugend und laß dein Herz guter Dinge sein in deiner Jugend.
Prediger 12:1|Gedenke an deinen Schöpfer in deiner Jugend, ehe die bösen Tage kommen.
Prediger 12:7|Denn der Staub muß wieder zur Erde kommen, wie er gewesen ist, und der Geist wieder zu Gott, der ihn gegeben hat.
Prediger 12:13|Laßt uns die Hauptsumme aller Lehre hören: Fürchte Gott und halte seine Gebote; denn das gilt für alle Menschen.
Prediger 12:14|Denn Gott wird alle Werke vor Gericht bringen, alles, was verborgen ist, es sei gut oder böse.
Jesaja 1:18|So kommt denn und laßt uns miteinander rechten, spricht der HERR. Wenn eure Sünde auch blutrot ist, soll sie doch schneeweiß werden.
Jesaja 2:3|Und viele Völker werden hingehen und sagen: Kommt, laßt uns auf den Berg des HERRN gehen, zum Hause des Gottes Jakobs.
Jesaja 2:4|Und er wird richten unter den Heiden und zurechtweisen viele Völker. Da werden sie ihre Schwerter zu Pflugscharen machen.
Jesaja 5:20|Weh denen, die Böses gut und Gutes böse heißen, die aus Finsternis Licht und aus Licht Finsternis machen.
Jesaja 6:3|Und einer rief zum andern und sprach: Heilig, heilig, heilig ist der HERR Zebaoth, alle Lande sind seiner Ehre voll!
Jesaja 6:8|Und ich hörte die Stimme des Herrn, wie er sprach: Wen soll ich senden? Wer will unser Bote sein? Ich aber sprach: Hier bin ich, sende mich!
Jesaja 7:14|Siehe, eine Jungfrau ist schwanger und wird einen Sohn gebären, den wird sie nennen Immanuel.
Jesaja 9:1|Das Volk, das im Finstern wandelt, sieht ein großes Licht, und über denen, die da wohnen im finstern Lande, scheint es hell.
Jesaja 9:5|Denn uns ist ein Kind geboren, ein Sohn ist uns gegeben, und die Herrschaft ruht auf seiner Schulter.
Jesaja 11:2|Auf ihm wird ruhen der Geist des HERRN, der Geist der Weisheit und des Verstandes, der Geist des Rates und der Stärke.
Jesaja 11:6|Da werden die Wölfe bei den Lämmern wohnen und die Panther bei den Böcken lagern.
Jesaja 12:2|Siehe, Gott ist mein Heil, ich bin sicher und fürchte mich nicht; denn Gott der HERR ist meine Stärke und mein Psalm.
Jesaja 25:4|Denn du bist der Geringen Schutz gewesen, der Armen Schutz in der Trübsal, eine Zuflucht vor dem Ungewitter.
Jesaja 25:8|Er wird den Tod verschlingen auf ewig. Und Gott der HERR wird die Tränen von allen Angesichtern abwischen.
Jesaja 26:3|Wer festen Herzens ist, dem bewahrst du Frieden; denn er verläßt sich auf dich.
Jesaja 26:4|Darum vertrauet auf den HERRN ewiglich; denn Gott der HERR ist ein Fels ewiglich.
Jesaja 28:16|Wer glaubt, der flieht nicht.
Jesaja 29:13|Und der Herr sprach: Weil dies Volk mir naht mit seinem Munde und mit seinen Lippen mich ehrt, aber ihr Herz fern von mir ist.
Jesaja 30:15|Denn so spricht Gott der HERR, der Heilige Israels: Wenn ihr umkehrtet und stille bliebet, so würde euch geholfen.
Jesaja 30:18|Darum harrt der HERR darauf, daß er euch gnädig sei, und er macht sich auf, daß er sich euer erbarme.
Jesaja 30:21|Und deine Ohren werden hören das Wort hinter dir her sagen: Dies ist der Weg, den geht!
Jesaja 33:2|HERR, sei uns gnädig, denn auf dich harren wir. Sei du unser Arm alle Morgen, dazu unser Heil zur Zeit der Trübsal!
Jesaja 35:4|Sagt den verzagten Herzen: Seid getrost, fürchtet euch nicht! Sehet, da ist euer Gott!
Jesaja 35:10|Die Erlösten des HERRN werden wiederkommen und nach Zion kommen mit Jauchzen; ewige Freude wird über ihrem Haupte sein.
Jesaja 38:17|Siehe, um Trost war mir sehr bange. Du aber hast dich meiner Seele herzlich angenommen, daß sie nicht verdürbe.
Jesaja 40:8|Das Gras verdorrt, die Blume verwelkt, aber das Wort unseres Gottes bleibt ewiglich.
Jesaja 40:28|Weißt du nicht? hast du nicht gehört? Der HERR, der ewige Gott, der die Enden der Erde geschaffen hat, wird nicht müde noch matt.
Jesaja 41:13|Denn ich bin der HERR, dein Gott, der deine rechte Hand faßt und zu dir spricht: Fürchte dich nicht, ich helfe dir!
Jesaja 42:3|Das geknickte Rohr wird er nicht zerbrechen, und den glimmenden Docht wird er nicht auslöschen.
Jesaja 42:16|Und ich will die Blinden auf dem Wege leiten, den sie nicht wissen; ich will sie führen auf den Steigen, die sie nicht kennen.
Jesaja 43:1|Fürchte dich nicht, denn ich habe dich erlöst; ich habe dich bei deinem Namen gerufen; du bist mein!
Jesaja 43:2|Wenn du durch Wasser gehst, will ich bei dir sein, und wenn du durch Ströme gehst, sollen sie dich nicht ersäufen.
Jesaja 43:4|Weil du in meinen Augen so wert geachtet und auch herrlich bist und weil ich dich lieb habe.
Jesaja 43:18|Gedenket nicht an das Alte und achtet nicht auf das Vorige!
Jesaja 43:19|Denn siehe, ich will ein Neues schaffen, jetzt wächst es auf, erkennt ihr's denn nicht?
Jesaja 44:3|Denn ich will Wasser gießen auf das Durstige und Ströme auf das Dürre.
Jesaja 44:22|Ich tilge deine Missetat wie eine Wolke und deine Sünden wie den Nebel. Kehre dich zu mir, denn ich erlöse dich.
Jesaja 45:22|Wendet euch zu mir, so werdet ihr gerettet, aller Welt Enden; denn ich bin Gott, und sonst keiner mehr.
Jesaja 46:4|Auch bis in euer Alter bin ich derselbe, und ich will euch tragen, bis ihr grau werdet.
Jesaja 48:17|So spricht der HERR, dein Erlöser, der Heilige Israels: Ich bin der HERR, dein Gott, der dich lehrt, was dir hilft.
Jesaja 49:15|Kann auch ein Weib ihres Kindleins vergessen, daß sie sich nicht erbarme über den Sohn ihres Leibes? Und ob sie seiner vergäße, so will ich doch deiner nicht vergessen.
Jesaja 49:16|Siehe, in die Hände habe ich dich gezeichnet; deine Mauern sind immerdar vor mir.
Jesaja 50:10|Wer ist unter euch, der den HERRN fürchtet, der seines Knechtes Stimme gehorcht? Der im Finstern wandelt und scheint ihm kein Licht, der hoffe auf den Namen des HERRN.
Jesaja 52:7|Wie lieblich sind auf den Bergen die Füße der Freudenboten, die da Frieden verkündigen, Gutes predigen.
Jesaja 53:4|Fürwahr, er trug unsre Krankheit und lud auf sich unsre Schmerzen.
Jesaja 53:5|Aber er ist um unsrer Missetat willen verwundet und um unsrer Sünde willen zerschlagen.
Jesaja 53:6|Wir gingen alle in die Irre wie Schafe, ein jeglicher sah auf seinen Weg; aber der HERR warf unser aller Sünde auf ihn.
Jesaja 54:10|Denn es sollen wohl Berge weichen und Hügel hinfallen, aber meine Gnade soll nicht von dir weichen.
Jesaja 58:11|Und der HERR wird dich immerdar führen und dich sättigen in der Dürre und dein Gebein stärken.
Jesaja 66:13|Ich will euch trösten, wie einen seine Mutter tröstet.
